entity,period,state,loan_count,total_book_value,avg_interest_rate
USL,2024Q4,CAN,2,5154529.0,6.689
USL,2024Q4,CO,27,16028772.0,4.2992
USL,2024Q4,CT,9,26631045.0,4.4009
USL,2024Q4,DC,12,90758026.0,4.23
USL,2024Q4,DE,3,1923011.0,4.8373
USL,2024Q4,DEU,6,231327928.0,5.594
USL,2024Q4,ESP,1,27237478.0,5.652
USL,2024Q4,FIN,4,103677500.0,7.0325
USL,2024Q4,FL,54,72934854.0,4.0384
USL,2024Q4,GA,32,42245722.0,3.9807
USL,2024Q4,GBR,9,270130702.0,6.1194
USL,2024Q4,HI,8,151262409.0,4.4903
USL,2024Q4,ID,7,3114114.0,3.686
USL,2024Q4,IL,26,72667052.0,4.4804
USL,2024Q4,IN,8,58829079.0,5.26
USL,2024Q4,IRL,2,12591061.0,7.179
USL,2024Q4,KY,1,38793413.0,4.55
USL,2024Q4,LA,5,9892613.0,4.2372
USL,2024Q4,MA,21,155783554.0,5.0858
USL,2024Q4,MD,34,29808432.0,4.5148
USL,2024Q4,MI,3,1239834.0,4.706
USL,2024Q4,MN,12,11813515.0,4.3243
USL,2024Q4,MO,5,7303619.0,6.0186
USL,2024Q4,MT,1,91379.0,6.219
USL,2024Q4,NC,25,93176066.0,4.818
USL,2024Q4,NH,1,386282.0,6.481
USL,2024Q4,NJ,51,263843480.0,5.8343
USL,2024Q4,NLD,5,124543484.0,4.7714
USL,2024Q4,NM,6,3733978.0,4.0165
USL,2024Q4,NV,23,93125036.0,4.0867
USL,2024Q4,NY,74,731218096.0,5.1204
USL,2024Q4,OH,5,9202051.0,4.5402
USL,2024Q4,OK,8,2920189.0,5.8961
USL,2024Q4,OR,20,11205072.0,4.6548
USL,2024Q4,PA,18,67073532.0,5.1998
USL,2024Q4,RI,4,20402064.0,4.2068
USL,2024Q4,SC,25,29642428.0,4.0174
USL,2024Q4,TN,30,205838014.0,3.7401
USL,2024Q4,TX,86,192086123.0,4.4627
USL,2024Q4,UT,13,8443865.0,4.1903
USL,2024Q4,VA,49,41492236.0,4.6943
USL,2024Q4,WA,68,81338334.0,4.1502
USL,2024Q4,WI,4,40538983.0,5.0513
USL,2024Q4,WV,1,362842.0,3.875
USL,2025Q4,AL,7,14384501.0,3.105
USL,2025Q4,AR,1,1000131.0,2.875
USL,2025Q4,AZ,23,309110067.0,3.5293
USL,2025Q4,CA,240,464285588.0,3.2757
USL,2025Q4,CO,28,16147769.0,3.5
USL,2025Q4,CT,9,25957192.0,3.4939
USL,2025Q4,DC,11,89412318.0,4.0218
USL,2025Q4,DE,3,1880257.0,3.6667
USL,2025Q4,DEU,4,177998150.0,4.5423
USL,2025Q4,ESP,3,115790548.0,4.745
USL,2025Q4,FIN,2,58722500.0,6.0735
USL,2025Q4,FL,57,78873075.0,3.3796
USL,2025Q4,GA,28,19501609.0,3.2812
USL,2025Q4,GBR,6,142846129.0,5.2623
USL,2025Q4,HI,9,158219448.0,4.1013
USL,2025Q4,ID,7,3256747.0,3.4643
USL,2025Q4,IL,23,43271198.0,3.6937
USL,2025Q4,IN,8,57268838.0,4.1963
USL,2025Q4,IRL,4,345945824.0,5.0205
USL,2025Q4,KY,1,37983987.0,4.55
USL,2025Q4,LA,5,9608001.0,3.5
USL,2025Q4,MA,19,146583957.0,4.2701
USL,2025Q4,MD,34,57511371.0,3.8043
USL,2025Q4,MI,3,1207815.0,3.4167
USL,2025Q4,MN,14,41840847.0,3.8756
USL,2025Q4,MO,3,5705915.0,4.4333
USL,2025Q4,MT,2,858647.0,3.75
USL,2025Q4,NC,23,90786649.0,3.6235
USL,2025Q4,NH,1,361287.0,4.125
USL,2025Q4,NJ,43,159257056.0,4.5206
USL,2025Q4,NLD,4,67858911.0,3.8708
USL,2025Q4,NM,5,3247874.0,3.65
USL,2025Q4,NV,23,99967433.0,3.6446
USL,2025Q4,NY,73,712806549.0,4.7924
USL,2025Q4,OH,3,5720825.0,4.8483
USL,2025Q4,OK,7,2314003.0,3.9821
USL,2025Q4,OR,21,11058521.0,3.5595
USL,2025Q4,PA,17,61152307.0,3.7572
USL,2025Q4,RI,5,59147480.0,4.501
USL,2025Q4,SC,26,56266565.0,3.3423
USL,2025Q4,TN,27,181432059.0,3.5197
USL,2025Q4,TX,82,186628617.0,3.6391
USL,2025Q4,UT,13,8375570.0,3.4327
USL,2025Q4,VA,47,38040427.0,3.7832
USL,2025Q4,WA,61,58820496.0,3.2906
USL,2025Q4,WI,3,35638300.0,5.005
USL,2025Q4,WV,1,40161.0,3.875
VALIC,2021Q4,AZ,12,46722846.0,3.6659
VALIC,2021Q4,CA,53,433626257.0,3.842
VALIC,2021Q4,CO,4,24627678.0,4.2745
VALIC,2021Q4,CT,7,155653183.0,5.3557
VALIC,2021Q4,DC,4,57127894.0,4.1117
VALIC,2021Q4,DEU,1,67947189.0,2.11
VALIC,2021Q4,DNK,2,159811796.0,2.4665
VALIC,2021Q4,FL,19,475206125.0,3.9445
VALIC,2021Q4,GA,10,34235267.0,3.875
VALIC,2021Q4,GBR,11,415513836.0,3.7127
VALIC,2021Q4,ID,1,372445.0,3.588
VALIC,2021Q4,IL,6,113881146.0,4.1015
VALIC,2021Q4,IN,3,22731650.0,3.9957
VALIC,2021Q4,IRL,3,65259414.0,4.7333
VALIC,2021Q4,LOS,2,6908642.0,4.1555
VALIC,2021Q4,MA,9,221126775.0,4.5108
VALIC,2021Q4,MD,15,62290330.0,3.5176
VALIC,2021Q4,MI,2,540613.0,6.207
VALIC,2021Q4,MS,1,5754013.0,3.2
VALIC,2021Q4,NC,5,28434884.0,3.9248
VALIC,2021Q4,NE,1,13512122.0,3.2
VALIC,2021Q4,NEW,2,74098149.0,4.0
VALIC,2021Q4,NJ,10,540616797.0,3.8108
VALIC,2021Q4,NM,1,371578.0,3.743
VALIC,2021Q4,NV,4,2099536.0,3.7763
VALIC,2021Q4,NY,32,2199470694.0,4.2223
VALIC,2021Q4,OH,6,160597878.0,4.4833
VALIC,2021Q4,OK,1,441801.0,4.333
VALIC,2021Q4,OR,8,5390096.0,3.5511
VALIC,2021Q4,PA,12,438285054.0,3.5771
VALIC,2021Q4,SAN,2,37633518.0,4.7855
VALIC,2021Q4,SC,12,60603697.0,3.5465
VALIC,2021Q4,SD,1,30208262.0,3.2
VALIC,2021Q4,TN,2,9227180.0,3.7635
VALIC,2021Q4,TX,25,499223068.0,3.7514
VALIC,2021Q4,UT,5,18742828.0,3.9234
VALIC,2021Q4,VA,8,5398881.0,3.8482
VALIC,2021Q4,WA,10,45408689.0,3.4199
VALIC,2022Q4,AIG,3,998717.0,0
VALIC,2022Q4,AL,15,169363281.0,5.9247
VALIC,2022Q4,AZ,23,39919378.0,3.4967
VALIC,2022Q4,CA,304,1580320581.0,3.522
VALIC,2022Q4,CAN,4,48481676.0,4.035
VALIC,2022Q4,CO,46,168511755.0,3.91
VALIC,2022Q4,CT,9,7961134.0,5.8448
VALIC,2022Q4,DC,11,110659019.0,3.3239
VALIC,2022Q4,DE,10,5865367.0,6.1473
VALIC,2022Q4,DEU,8,329507468.0,3.4987
VALIC,2022Q4,DNK,2,27922768.0,4.093
VALIC,2022Q4,FIN,2,165589260.0,4.262
VALIC,2022Q4,FL,92,396082147.0,3.9328
VALIC,2022Q4,GA,43,76070138.0,4.431
VALIC,2022Q4,GBR,16,614784543.0,5.1813
